Equipe,Nom,Poste,Taille,Masse,Type,Grand_Poste
Toulouse,Dorian,ALDEGHERI,Avant,180,119,Pilier
Toulouse,Peato,MAUVAKA,Avant,184,115,Talonneur
Toulouse,Cyril,BAILLE,Avant,182,118,Pilier
Toulouse,Julien,MARCHAND,Avant,181,110,Talonneur
Toulouse,Rodrigue,NETI,Avant,184,112,Pilier
Toulouse,David,AINU'U,Avant,178,120,Pilier
Toulouse,Joel,MERCLER,Avant,193,125,Pilier
Toulouse,Emmanuel,MEAFOU,2ème,203,145,Avant
Toulouse,Thibaud,FLAMENT,2ème,203,116,Avant
Toulouse,Richie,ARNOLD,2ème,208,127,Avant
Toulouse,Joshua,BRENNAN,2ème,199,114,Avant
Toulouse,Anthony,JELONCH,3ème,194,106,Avant
Toulouse,Jack,WILLIS,3ème,191,104,Avant
Toulouse,François,CROS,3ème,190,105,Avant
Toulouse,Alexandre,ROUMAT,3ème,198,102,Avant
Toulouse,Leo,BANOS,3ème,189,98,Avant
Toulouse,Antoine,DUPONT,Demi,174,85,mêlée
Toulouse,Romain,NTAMACK,Demi,186,86,Arrière
Toulouse,Paul,GRAOU,Demi,177,82,mêlée
Toulouse,Pierre-Louis,BARASSI,Trois-Quarts,188,90,Centre
Toulouse,Matthis,LEBEL,Trois-Quarts,185,89,Ailier
Toulouse,Paul,COSTES,Trois-Quarts,181,84,Centre
Toulouse,Ange,CAPUOZZO,Trois-Quarts,177,73,Ailier
Toulouse,Santiago,CHOCOBARES,Trois-Quarts,189,94,Centre
Toulouse,Thomas,RAMOS,Arrière,178,86,Arrière
Toulouse,Blair,KINGHORN,Arrière,194,93,Arrière
